date,FB,GOOGL,AMZN,DELL,IBM,INTC,AAPL,MSFT,CSCO,ORCL,NVDA,VMW,HPQ,AMD,TSM,TXN,QCOM
2016-07-28,125.0,765.84,752.61,,144.3433,32.2854,99.683,53.1246,28.1451,39.5876,55.5631,60.6179,12.8832,6.82,26.4908,65.7773,56.2001
2016-07-29,123.94,791.34,758.81,,143.6724,32.369,99.5588,53.5688,28.1543,39.4435,56.4729,60.6262,12.9479,6.86,26.1519,65.3278,56.3351
2016-08-01,124.31,800.94,767.74,,144.4148,32.3597,101.3167,53.4743,28.3387,39.5492,56.107,60.2192,13.105,6.64,26.9427,65.4495,55.678
2016-08-02,123.09,800.12,760.58,,143.6366,32.0904,99.8168,53.4743,28.2373,39.1263,55.4246,58.2421,12.9941,6.26,26.5096,64.4848,54.5527
2016-08-03,122.51,798.92,754.64,,143.7171,32.0436,101.0683,53.8429,28.3295,39.1263,55.5729,58.483,13.2251,6.3,26.5096,64.5129,54.9218
2016-08-04,124.36,797.25,760.77,,144.5043,32.3524,101.6926,54.2399,28.4033,39.3089,56.6015,58.4248,13.0773,6.47,26.7356,65.1966,54.8948
2016-08-05,125.15,806.93,765.98,,146.2486,32.7266,103.2391,54.7786,28.6246,39.53,57.5609,58.9648,13.1974,6.61,27.1027,65.7024,55.813
2016-08-08,125.26,805.23,766.56,,146.1944,32.7827,104.094,54.8731,28.5969,39.5588,58.0949,59.0562,13.1789,6.68,27.3851,65.693,55.4349
2016-08-09,125.06,807.48,768.31,,145.9508,32.6705,104.5166,55.0054,28.5324,39.5011,58.2433,59.4217,13.1697,6.6,27.677,65.7961,55.804
2016-08-10,124.88,808.49,768.56,,146.2305,32.3056,103.7386,54.8353,28.4494,39.4915,57.8675,58.7488,13.1142,6.49,27.5075,65.4589,55.5519
2016-08-11,124.9,808.2,771.24,,147.5387,32.4459,103.6714,55.0999,28.5416,39.6741,59.0444,58.998,13.2159,6.58,27.4322,65.5619,55.579
2016-08-12,124.88,807.05,772.56,,146.1132,32.343,103.9115,54.7597,28.4678,39.4915,62.3477,59.0479,13.1974,6.73,27.5263,65.4121,55.5519
2016-08-15,123.9,805.96,768.49,,146.0501,32.6611,105.1602,54.9298,28.7629,39.7799,62.2884,58.8734,13.4192,6.95,27.6676,65.871,56.2001
2016-08-16,123.3,801.19,764.04,,144.9855,32.9418,105.0641,54.6255,28.6984,39.7126,61.9126,58.8236,13.3176,6.78,27.3757,65.3933,55.876
2016-08-17,124.37,805.42,764.63,,144.7509,32.764,104.9105,54.7396,28.3295,39.6069,60.4785,58.4913,13.4007,6.68,27.2816,65.3933,56.0651
2016-08-18,123.91,802.75,764.46,,145.5809,32.7172,104.776,54.7776,28.1082,39.5396,61.418,59.8537,13.41,7.04,27.451,65.6837,56.7492
2016-08-19,123.56,799.65,757.31,,144.39,32.9699,105.0449,54.7966,28.1451,39.7126,61.5763,60.5099,13.3268,7.62,26.9615,65.8148,56.4972
2016-08-22,124.15,796.95,759.48,,144.3539,33.0821,104.2285,54.8442,28.2465,39.6165,61.8334,60.7093,13.2806,7.58,26.7356,65.5619,56.5602
2016-08-23,124.37,796.59,762.45,,144.5885,33.1195,104.5551,55.0534,28.5693,39.8856,62.3338,61.9388,13.4654,7.67,26.8297,65.5432,56.7942
2016-08-24,123.48,793.6,757.25,,143.4968,32.8856,103.7674,55.1105,28.643,39.4723,61.3727,62.0468,13.3083,7.43,26.7262,65.4682,56.3621
2016-08-25,123.89,791.3,759.22,,143.1179,32.8295,103.3256,55.3197,28.8551,39.5011,60.9664,61.9139,13.2806,7.465,26.9239,65.3933,56.3891
